Categoría,Nombre Api,Nombre producto,Descripción,Palabras claves,Link,x-ibm-name,popular
Registrar,Sufi Loan Management Loans,Sufi_Loan_Management,Permite gestionar las obligaciones adquiridas por los clientes a través de Sufi,"Registrar,Obligaciones,Clientes,Sufi,SufiLoanManagementLoans,gestión,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_loan_management/apis/sufiloanmanagementloans_v1/,sufi_loan_management,no
Consulta,Customer Data Sufi Customers,Customer_Data_Sufi,Permite tener acceso a toda la información de los clientes de Sufi,"Consulta,CustomerDataSufiCustomers,Customer,RetrieveCustomerGeneralDataSufi,clientes,información,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/customer_data_sufi/apis/customerdatasuficustomers_v2/,customer_data_sufi_customers,si
Gestion,Preliminary Study,Loans_Study_Vehicle,Registro de la información para realizar el estudio preliminar como parte de una solicitud de crédito para vehículo,"Gestion,Registro,vehicle,estudio,carro,preliminar,PreliminaryStudy,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_study_vehicle/apis/preliminarystudy_v3/,loans_study_vehicle_preliminary_study,no
Gestion,Final Study,Loans_Study_Vehicle_Final,Registro de la información para el estudio final después del registro de la información del estudio preliminar,"Gestion,Final,Estudio,Carro,Vehicle,FinalStudy,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_study_vehicle/apis/finalstudy_v2/,loans_study_vehicle_final_study,no
Gestion,Manual Study,Loans_Study_Vehicle_Manual,Realizar de la información adicional en caso de requerirse un estudio manual para el crédito de vehículo,"Gestion,Manual,Estudio,Carro,Vehicle,ManualStudy,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_study_vehicle/apis/manualstudy_v2/,loans_study_vehicle_manual_study,no
Consulta,Sufi Third Party Information,Sufi_Third_Party_Information,Permite a los usuarios recuperar de manera eficiente la información detallada de los acuerdos específicos con cada aliado,"SufiThirdPartyInformationThirdPartyRelationship,consulta,aliados,terceros,recuperar,acuerdos,publica",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_third_party_information/apis/sufithirdpartyinformationthirdpartyrelationship_v1/,third_party_relationship,no
Consulta,Loans Information,Sufi_Loan,Permite consultar la información de los créditos asociados a un cliente de Sufi,"consultar,LoansInformation,Sufi_Loan,cliente,credito,información,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_loan/apis/loansinformation_v1/,loans_information,si
Consulta,Sufi Loan Transactions,Sufi_Loan_Transactions,Entrega información correspondiente a los movimientos realizados sobre créditos de un determinado cliente,"consulta,SufiLoanTransactions,movimientos,credito,transacciones,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_loan/apis/sufiloantransactions_v1/,sufi_loan_transactions,si
Consulta,Sufi Master Catalogs Information,Sufi_Master_Catalogs,Permite la consulta de los catálogos maestros para la gestión de créditos en Sufi,"Consulta,SufiMasterCatalogsInformation,catalogos,maestros,gestión,creditos,publica",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_master_catalogs/apis/sufimastercatalogsinformation_v1/,sufi_master_catalogs_information,no
Gestion,Customer Data Sufi Management Customers,Customer_Data_Sufi_Management,"Permite la gestión de los datos de los clientes Sufi, incluyendo creación, actualización y eliminación de registros","Gestion,Customer,ManageCustomerDataSufi,CustomerDataSufiManagementCustomers,clientes,actualización,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/customer_data_sufi_management/apis/customerdatasufimanagementcustomers_v1/,customer_data_sufi_management,si
Consulta,Loan Documents Sufi,Document_Service_Sufi,"Listar, firmar y obtener documentos","Consulta,LoanDocumentsSufi,listar,firmar,obtener,documentos,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/document_service_sufi/apis/loandocumentssufi_v2/,loan_documents_sufi,no
Enrolamiento,Enrollment Users Management Private,Enrollment_Private,Permite realizar y verificar el enrolamiento de un cliente,"enrolamiento,Enrollment,StartEnrollment,validateTokenEnrollment,EnrollmentUsersManagement,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/enrollment_private/apis/enrollmentusersmanagement_v3/,users_management,no
Enrolamiento,Enrollment Users Management Public,Enrollment_Public,Permite iniciar el proceso y registrar los datos básicos del usuario a validar,"Enrolamiento,Enrollment,Public,registrar,EnrollmentUsersManagement,publica",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/enrollment_public/apis/enrollmentusersmanagement_v2/,users_management,no
Gestion,Electronic Signature,Electronic_Signature,Genera códigos para la firma de documentos,"document-service-sufi,Gestion,documentos,firmas,ElectronicSignature,codigo,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/document_service_sufi/apis/electronicsignature_v2/,electronic_signature,no
Simulacion,Loans Sufi Simulation,Loans_Sufi_Simulation,Ofrece a los clientes la posibilidad de realizar una simulación de un crédito con el fin de poder tener una proyección,"Simulación,Crédito,Proyección,credito,consumo,educativo,movilidad,LoansSufiSimulation,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_sufi/apis/loanssufisimulation_v3/,simulation,si
Confirmacion,Challenge Response Authentication,Sufi_Party_Authentication,Confirma la identidad del solicitante de crédito de vehículo mediante el cuestionario financiero a través de la página del aliado Sufi,"Verificacion,Confirmacion,Identidad,Cuestionario,Financiero,Aliado,ChallengeResponseAuthentication,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_party_authentication/apis/challengeresponseauthentication_v1/,challenge_response_authentication,no
