Categoría,Nombre Api,Nombre producto,Descripción,Palabras claves,Link,x-ibm-name,popular
Consulta,Customer Data Sufi Customers,Customer_Data_Sufi,Permite tener acceso a toda la información de los clientes de Sufi,"Consulta,CustomerDataSufiCustomers,Customer,RetrieveCustomerGeneralDataSufi,clientes,información,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/customer_data_sufi/apis/customerdatasuficustomers_v2/,customer_data_sufi_customers,si
Consulta,Sufi Third Party Information,Sufi_Third_Party_Information,Permite a los usuarios recuperar de manera eficiente la información detallada de los acuerdos específicos con cada aliado,"SufiThirdPartyInformationThirdPartyRelationship,consulta,aliados,terceros,recuperar,acuerdos,publica",https://developer-portal-public-sbx.apps.ambientesbc.com/documentacion,no
Consulta,Loans Information,Sufi_Loan,Permite consultar la información de los créditos asociados a un cliente de Sufi,"consultar,LoansInformation,Sufi_Loan,cliente,credito,información,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_loan/apis/loansinformation_v1/,loans_information,si
Consulta,Sufi Loan Transactions,Sufi_Loan_Transactions,Entrega información correspondiente a los movimientos realizados sobre créditos de un determinado cliente,"consulta,SufiLoanTransactions,movimientos,credito,transacciones,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_loan/apis/sufiloantransactions_v1/,sufi_loan_transactions,si
Consulta,Sufi Master Catalogs Information,Sufi_Master_Catalogs,Permite la consulta de los catálogos maestros para la gestión de créditos desde los Aliados Sufi,"Consulta,SufiMasterCatalogsInformation,catalogos,maestros,gestión,creditos,publica",https://developer-portal-public-sbx.apps.ambientesbc.com/documentacion,sufi_master_catalogs_information,no
Consulta,Loan Documents Sufi,Document_Service_Sufi,"Listar, firmar y obtener documentos","Consulta,LoanDocumentsSufi,listar,firmar,obtener,documentos,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/document_service_sufi/apis/loandocumentssufi_v2/,loan_documents_sufi,no
Enrolamiento,Enrollment Users Management Private,Enrollment_Private,Permite realizar y verificar el enrolamiento de un cliente,"enrolamiento,Enrollment,StartEnrollment,validateTokenEnrollment,EnrollmentUsersManagement,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/enrollment_private/apis/enrollmentusersmanagement_v3/,users_management,no
Enrolamiento,Enrollment Users Management Public,Enrollment_Public,Permite iniciar el proceso y registrar los datos básicos del usuario a validar desde la experiencia propia del Aliado de Sufi,"Enrolamiento,Enrollment,Public,registrar,EnrollmentUsersManagement,publica",https://developer-portal-public-sbx.apps.ambientesbc.com/documentacion,users_management,no
Gestion,Electronic Signature,Electronic_Signature,Genera códigos para la firma de documentos,"document-service-sufi,Gestion,documentos,firmas,ElectronicSignature,codigo,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/document_service_sufi/apis/electronicsignature_v2/,electronic_signature,no
Simulacion,Loans Sufi Simulation,Loans_Sufi_Simulation,Ofrece a los clientes la posibilidad de realizar una simulación de un crédito con el fin de poder tener una proyección,"Simulación,Crédito,Proyección,credito,consumo,educativo,movilidad,LoansSufiSimulation,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_sufi/apis/loanssufisimulation_v3/,simulation,si
Confirmacion,Challenge Response Authentication,Sufi_Party_Authentication,Confirma la identidad del solicitante de crédito de vehículo mediante el cuestionario financiero a través de la página del aliado Sufi,"Verificacion,Confirmacion,Identidad,Cuestionario,Financiero,Aliado,ChallengeResponseAuthentication,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_party_authentication/apis/challengeresponseauthentication_v1/,challenge_response_authentication,no
Desembolso,Sufi Loan Disbursement Disbursements,Sufi_Loan_Disbursement,Esta API permite realizar el desembolso de créditos Ordinarios qué fueron gestionados con Sufi,"Desembolso,SufiLoanDisbursementDisbursements,creditos,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_loan_disbursement/apis/sufiloandisbursementdisbursements_v1/,disbursements,no
Desembolso,Consumer Loan Sufi Disbursement,Consumer_Loan_Sufi_Disbursement,Permite realizar el desembolso automático del dinero de un crédito rotativo que ya se encuentra aprobado y listo para hacer su desembolso en línea,"privada,desembolso,rotativo,ConsumerLoanSufiDisbursement,automatico,credito",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/consumer_loan_sufi_privada/apis/consumerloansufidisbursement_v2/,disbursement,no
Modificar,Sufi Loan Modification Management,Sufi_Loan_Modification,Permite realizar modificaciones o cambios a las condiciones e información de los créditos de Sufi,"Modificar,Actualizacion,creditos,condiciones,SufiLoanModificationManagement,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_loan_modification/apis/sufiloanmodificationmanagement_v1/,sufi_loan_modification,si
Gestion,Loan Application,Loans_Sufi_Study_Consume,Tiene capacidades relacionadas con la inicialización de un proceso de estudio de crédito de consumo,"Gestion,credito,estudio,consumo,LoanApplication,inicialización,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_sufi_study_consume/apis/loanapplication_v3/,loan_application,si
Gestion,Loan Additional Information,Loans_Sufi_Study_Additional,Ofrece a los clientes el poder tener bajo su propia experiencia la autogestión de un estudio de crédito de consumo,"Autogestion,credito,consumo,experiencia,LoanAdditionalInformation,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_sufi_study_consume/apis/loanadditionalinformation_v3/,loan_additional_information,si
Consulta,Loan Application Information,Loans_Application_Info,Permite el registro del cliente y consultar la información,"registro,cliente,consulta,gestion,LoanApplicationInformation,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_sufi_study_consume/apis/loanapplicationinformation_v3/,loan_application_information,si
Consulta,Loans Sufi Catalogs Master Reference,Loans_Sufi_Catalogs,Permite la consulta de los catálogos maestros,"consulta,catalogos maestros,LoansSufiCatalogsMasterReference,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/loans_sufi_catalogs/apis/loanssuficatalogsmasterreference_v3/,sufi_master_catalogs_information,no
Consulta,SufiLoanPaymentExecution,Sufi_Loan_Payment,Realiza la gestión en línea del pago desde el cliente al crédito con Sufi,"Gestion,pago,SufiLoanPaymentExecution,creditos,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_loan_payment/apis/sufiloanpaymentexecution_v2/,payment_execution,si
Simulacion,SufiLoanCalculatorInstallment,Sufi_Loan_Calculator,Simula un crédito con Sufi desde la experiencia propia del Comercio Aliado de Sufi,"SufiLoanCalculatorInstallment,simulacion,financiacion,calculo,cuotas,publica",https://developer-portal-public-sbx.apps.ambientesbc.com/documentacion,installments,no
Consulta,PaymentInformation,Consumer_Loan_Payment_Info,Permite consultar la información de los créditos asociados a un cliente desde un Aliado de Sufi,"Consulta,informacion,credito,cliente,PaymentInformation,pagos,publica",https://developer-portal-public-sbx.apps.ambientesbc.com/documentacion,payment_information,si
Registrar,Sufi Credit payment order initiation,Sufi_Credit_Payment,API que recibe y envía información relacionada con el pago del crédito de Sufi del cliente,"Pago,Orden,SufiCredit,payment_order_initiation,publica",https://developer-portal-public-sbx.apps.ambientesbc.com/documentacion,payment_order_initiation,no
Consulta,Sufi Party Routing Profile,Sufi_Party_Routing,Perfil de enrutamiento para enrolamiento desde los Aliados de Sufi,"Enrolamiento,Perfil,Routing,routing_profile_management,publica",https://developer-portal-public-sbx.apps.ambientesbc.com/documentacion,routing_profile_management,no
Gestion,Sufi Vehicle Credit Eligibility Assessment,Sufi_Vehicle_Eligibility,Estudio de crédito para consumidores externos,"Estudio,Credito,Vehiculo,elegibility_assessment,publica",https://developer-portal-public-sbx.apps.ambientesbc.com/documentacion,elegibility_assessment,no
Gestion,Sufi Customer Vehicle Credit Eligibility Assessmet,Sufi_Customer_Vehicle_Credit_Elegibility_Assessment,Esta API permite autogetionar el estudio de crédito con Sufi desde la experiencia propia del consumidor interno,"Estudio,Credito,Vehiculo,elegibility_assessment,privada",https://portaldocumentacion.apps.bancolombia.corp/docs/evc00043/sufan05/sufi_vehicle_eligibility/apis/assessment_v1/,sufi_customer_vehicle_credit_elegibility_assessment,no
